"ริชี สุนัค กลายเป็นนายกฯ อังกฤษ เชื้อสายเอเชียคนแรก
นายริชี สุนัค ได้รับเสียงสนับสนุนจาก ส.ส. พรรคคอนเซอร์เวทีฟท่วมท้น ให้รับตำแหน่งหัวหน้าพรรคและนายกรัฐมนตรีต่อจากนางลิซ ทรัสส์ หลังอยู่ในตำแหน่งเพียง 44 วัน ทำให้เขากลายเป็น นายกรัฐมนตรีเชื้อสายเอเชียคนแรกของสหราชอาณาจักร",ริชี สุนัค กลายเป็นนายกฯ อังกฤษ เชื้อสายเอเชียคนแรก|นายริชี สุนัค ได้รับเสียงสนับสนุนจาก ส.ส. พรรคคอนเซอร์เวทีฟท่วมท้น ให้รับตำแหน่งหัวหน้าพรรคและนายกรัฐมนตรีต่อจากนางลิซ ทรัสส์ หลังอยู่ในตำแหน่งเพียง 44 วัน ทำให้เขากลายเป็น นายกรัฐมนตรีเชื้อสายเอเชียคนแรกของสหราชอาณาจักร|
เมื่อช่วงต้นเดือนกันยายนที่ผ่านมา นายสุนัคพ่ายแพ้ในการชิงชัยตำแหน่งดังกล่าวต่อนางทรัสส์หลังนายบอริส จอห์นสัน ลาออกจากตำแหน่งเมื่อ ก.ค. หลังนางทรัสส์ลาออกเมื่อ 20 ต.ค. มีผู้สมัครชิงตำแหน่ง 3 คน คือ นายจอห์นสัน นายสุนัค และ นางเพนนี มอร์เดินท์ ซึ่งตามระเบียบพรรค ผู้สมัครต้องมีเสียงสนับสนุนจาก ส.ส. อย่างน้อย 100 เสียง,เมื่อช่วงต้นเดือนกันยายนที่ผ่านมา นายสุนัคพ่ายแพ้ในการชิงชัยตำแหน่งดังกล่าวต่อนางทรัสส์หลังนายบอริส จอห์นสัน ลาออกจากตำแหน่งเมื่อ ก.ค. |หลังนางทรัสส์ลาออกเมื่อ 20 ต.ค. มีผู้สมัครชิงตำแหน่ง 3 คน คือ นายจอห์นสัน นายสุนัค และ นางเพนนี มอร์เดินท์ ซึ่งตามระเบียบพรรค ผู้สมัครต้องมีเสียงสนับสนุนจาก ส.ส. อย่างน้อย 100 เสียง|
เมื่อคืน 23 ต.ค. นายจอห์นสัน บอกว่าเขามีเสียง ส.ส. สนับสนุนเกินร้อย แต่ประกาศถอนตัวจากการแข่งขันครั้งนี้ ส่วนนางมอร์เดินท์ ยังสู้จนกว่าจะถึงเวลาหมดเขต คือ 14.00 น. ของ 24 ต.ค. ท่ามกลางเสียงเรียกร้องของผู้บริหารพรรคคนสำคัญที่ขอให้นางมอร์เดินท์ ถอนตัว,เมื่อคืน 23 ต.ค. นายจอห์นสัน บอกว่าเขามีเสียง ส.ส. สนับสนุนเกินร้อย แต่ประกาศถอนตัวจากการแข่งขันครั้งนี้ ส่วนนางมอร์เดินท์ ยังสู้จนกว่าจะถึงเวลาหมดเขต คือ 14.00 น. ของ 24 ต.ค. ท่ามกลางเสียงเรียกร้องของผู้บริหารพรรคคนสำคัญที่ขอให้นางมอร์เดินท์ ถอนตัว|
"จนถึงเวลา 13.20 น. นายสุนัคได้คะแนนเสียงสนับสนุนจาก ส.ส. 193 คน ขณะที่ นางมอร์เดินท์ ได้เพียง 26 เสียง และไม่ถึง 5 นาทีก่อนเส้นตาย 14.00 น. นางมอร์เดินท์ ประกาศถอนตัวจากการแข่งขัน ""ดิฉันภาคภูมิใจในการแข่งขันครั้งนี้ และขอขอบคุณผู้สนับสนุนทุกฝ่ายในพรรค เราล้วนแต่เป็นหนี้ประเทศ ต่อกันและกัน และต่อริชี เราต้องสามัคคีกันเพื่อประโยชน์ของชาติ มีงานมากมายรอให้จัดการอยู่""","จนถึงเวลา 13.20 น. นายสุนัคได้คะแนนเสียงสนับสนุนจาก ส.ส. 193 คน ขณะที่ นางมอร์เดินท์ ได้เพียง 26 เสียง|และไม่ถึง 5 นาทีก่อนเส้นตาย 14.00 น. นางมอร์เดินท์ ประกาศถอนตัวจากการแข่งขัน|""ดิฉันภาคภูมิใจในการแข่งขันครั้งนี้ และขอขอบคุณผู้สนับสนุนทุกฝ่ายในพรรค เราล้วนแต่เป็นหนี้ประเทศ ต่อกันและกัน และต่อริชี เราต้องสามัคคีกันเพื่อประโยชน์ของชาติ มีงานมากมายรอให้จัดการอยู่""|"
ในการแข่งขันเมื่อช่วงฤดูร้อน นายสุนัคได้รับการสนับสนุนเสียงข้างมากจาก ส.ส.ของพรรค ทว่าเขาล้มเหลวในการจูงใจให้สมาชิกพรรคทั่วประเทศที่มีกว่า 1.61 แสนคน โหวตเลือกเขา ส่งผลให้นางทรัสส์ คู่ท้าชิง ได้เข้าไปนั่งทำงานที่ทำเนียบนายกรัฐมนตรีอังกฤษ บ้านเลขที่ 10 ถนนดาวนิ่ง เมื่อ ก.ย. ที่ผ่านมา,เมื่อช่วงต้นเดือนกันยายนที่ผ่านมา นายสุนัคพ่ายแพ้ในการชิงชัยตำแหน่งดังกล่าวต่อนางทรัสส์หลังนายบอริส จอห์นสัน ลาออกจากตำแหน่งเมื่อ ก.ค. |หลังนางทรัสส์ลาออกเมื่อ 20 ต.ค. มีผู้สมัครชิงตำแหน่ง 3 คน คือ นายจอห์นสัน นายสุนัค และ นางเพนนี มอร์เดินท์ ซึ่งตามระเบียบพรรค ผู้สมัครต้องมีเสียงสนับสนุนจาก ส.ส. อย่างน้อย 100 เสียง']|
ในช่วงการหาเสียง นายสุนัคให้ความสำคัญกับการแก้ไขปัญหาเศรษฐกิจถดถอยของสหราชอาณาจักร พร้อมนำเสนอนโยบายพลิกฟื้นเศรษฐกิจ เขากล่าวกับบีบีซีว่า ยินดีพ่ายแพ้ในศึกชิงเก้าอี้ผู้นำพรรคคอนเซอร์เวทีฟ ดีกว่า “ชนะด้วยการให้คำมั่นสัญญาจอมปลอม” ซึ่งดูเหมือนว่าเป็นการโจมตีคำประกาศยกเลิกแผนปรับขึ้นภาษีนิติบุคคลของนางทรัสส์,ในช่วงการหาเสียง นายสุนัคให้ความสำคัญกับการแก้ไขปัญหาเศรษฐกิจถดถอยของสหราชอาณาจักร พร้อมนำเสนอนโยบายพลิกฟื้นเศรษฐกิจ|เขากล่าวกับบีบีซีว่า ยินดีพ่ายแพ้ในศึกชิงเก้าอี้ผู้นำพรรคคอนเซอร์เวทีฟ ดีกว่า “ชนะด้วยการให้คำมั่นสัญญาจอมปลอม” ซึ่งดูเหมือนว่าเป็นการโจมตีคำประกาศยกเลิกแผนปรับขึ้นภาษีนิติบุคคลของนางทรัสส์|
"ต่อมารัฐบาลของนางทรัสส์ประกาศแผนกระตุ้นเศรษฐกิจที่เรียกว่า ""งบประมาณแผ่นดินฉบับย่อ"" มูลค่า 4.5 หมื่นล้านปอนด์ แต่ไม่มีรายละเอียดว่าจะนำเงินจากไหนเพื่อใช้ขับเคลื่อนแผน ทำให้ค่าเงินปอนด์ร่วงต่ำเป็นประวัติการณ์ก่อนดีดตัวขึ้น อัตราดอกเบี้ยสินเชื่อบ้านพุ่งพรวดพราด ราคาพันธบัตรรัฐบาลทรุดหนัก จนธนาคารกลางต้องเข้ามาแทรกแซง","ต่อมารัฐบาลของนางทรัสส์ประกาศแผนกระตุ้นเศรษฐกิจที่เรียกว่า ""งบประมาณแผ่นดินฉบับย่อ"" มูลค่า 4.5 หมื่นล้านปอนด์ แต่ไม่มีรายละเอียดว่าจะนำเงินจากไหนเพื่อใช้ขับเคลื่อนแผน ทำให้ค่าเงินปอนด์ร่วงต่ำเป็นประวัติการณ์ก่อนดีดตัวขึ้น อัตราดอกเบี้ยสินเชื่อบ้านพุ่งพรวดพราด ราคาพันธบัตรรัฐบาลทรุดหนัก จนธนาคารกลางต้องเข้ามาแทรกแซง|"
ผลที่ตามมาคือ นางทรัสส์เลือกที่จะปลด “เพื่อนคู่คิดการเมือง” ที่คบหากันมากกว่า 10 ปีอย่างนายกวาซี กวาร์เทง พ้นเก้าอี้รัฐมนตรีว่าการกระทรวงการคลัง แล้วแต่งตั้งนายเจเรมี ฮันต์ เป็นรัฐมนตรีคนใหม่,ผลที่ตามมาคือ นางทรัสส์เลือกที่จะปลด “เพื่อนคู่คิดการเมือง” ที่คบหากันมากกว่า 10 ปีอย่างนายกวาซี กวาร์เทง พ้นเก้าอี้รัฐมนตรีว่าการกระทรวงการคลัง แล้วแต่งตั้งนายเจเรมี ฮันต์ เป็นรัฐมนตรีคนใหม่|
ทว่าสถานการณ์ของนายกฯ หญิงเลวร้ายลง เมื่อนายฮันต์ประกาศกลางสภาผู้แทนราษฎรว่าจะยกเลิกแผนการตัดลดภาษีแทบทั้งหมดของนางทรัสส์ ท่ามกลางเสียงเรียกร้องจาก ส.ส. พรรคคอนเซอร์เวทีฟให้นางทรัสส์ลาออก,ทว่าสถานการณ์ของนายกฯ หญิงเลวร้ายลง เมื่อนายฮันต์ประกาศกลางสภาผู้แทนราษฎรว่าจะยกเลิกแผนการตัดลดภาษีแทบทั้งหมดของนางทรัสส์ ท่ามกลางเสียงเรียกร้องจาก ส.ส. พรรคคอนเซอร์เวทีฟให้นางทรัสส์ลาออก|
อย่างไรก็ตามนายสุนัคไม่ได้ให้ความเห็นต่อความโกลาหลที่เกิดขึ้น ซ้ำยังประกาศยืนเคียงข้างนายกฯ เพื่อแก้ไข “วิกฤตเศรษฐกิจดิ่งเหว” พร้อมรวมพรรคให้เป็นหนึ่งเดียว,อย่างไรก็ตามนายสุนัคไม่ได้ให้ความเห็นต่อความโกลาหลที่เกิดขึ้น ซ้ำยังประกาศยืนเคียงข้างนายกฯ เพื่อแก้ไข “วิกฤตเศรษฐกิจดิ่งเหว” พร้อมรวมพรรคให้เป็นหนึ่งเดียว|
